timestamp,package_number,gesture_name,gesture_number,s1,s2,s3,s4,s5,s6,s7,s8
1449106887941,2,3,7,3,-8,-19,-9,-6,-1,7,6
1449106887989,3,3,7,-29,-15,42,-6,-12,-7,-10,-20
1449106887989,3,3,7,40,24,-29,-11,7,-4,-16,5
1449106887990,0,3,7,24,13,30,4,2,8,16,4
1449106887990,0,3,7,-56,-19,-1,-15,-6,2,14,8
1449106887990,2,3,7,17,6,15,4,9,5,9,6
1449106887990,3,3,7,5,13,-1,14,-6,-4,-9,-7
1449106887990,2,3,7,16,4,-45,-14,-5,0,10,11
1449106887990,3,3,7,9,10,18,1,2,0,15,15
1449106888036,0,3,7,50,30,-15,15,24,10,0,16
1449106888036,0,3,7,-96,-97,9,-13,-11,-12,-25,-40
1449106888039,1,3,7,8,-9,-14,-2,-4,-5,-6,-12
1449106888039,1,3,7,-14,9,2,-7,0,3,4,2
1449106888040,3,3,7,26,0,23,56,22,17,32,23
1449106888040,0,3,7,-35,-40,12,9,-5,-10,-12,-17
1449106888040,0,3,7,-22,-7,-4,-18,-7,-11,-28,-17
1449106888040,3,3,7,-2,2,-26,-20,2,1,24,0
1449106888085,1,3,7,20,19,-5,-12,-4,-3,-5,-1
1449106888085,2,3,7,-3,-10,-21,-6,-3,2,11,1
1449106888085,1,3,7,-14,-18,-26,-22,-12,-9,-18,-10
1449106888085,2,3,7,22,28,4,8,5,0,-4,7
1449106888086,0,3,7,-12,-9,-33,3,-3,-4,-15,-12
1449106888086,0,3,7,2,4,41,-7,-16,-5,2,-7
1449106888087,1,3,7,25,2,-34,7,22,13,7,10
1449106888087,1,3,7,-5,-4,6,-1,-2,-1,-7,-1
1449106888133,2,3,7,-57,-29,31,-7,-9,-8,-7,-16
1449106888133,2,3,7,16,12,-25,12,11,5,10,6
1449106888134,3,3,7,7,-5,10,2,-4,-12,-27,-8
1449106888134,3,3,7,-2,0,22,9,-6,-3,-1,4
1449106888138,1,3,7,-14,-16,-26,-20,-10,-12,-22,-25
1449106888138,1,3,7,9,11,20,7,-1,-2,-1,13
1449106888182,2,3,7,-2,8,8,-6,-1,1,20,30
1449106888182,2,3,7,10,1,-3,-2,-8,-8,-12,-13
1449106888183,0,3,7,25,6,-11,10,8,4,1,13
1449106888183,3,3,7,-25,-29,7,-2,-3,-5,-19,-22
1449106888183,0,3,7,14,20,50,3,-4,-6,-8,-11
1449106888183,3,3,7,-38,-31,-26,-7,-5,-6,3,-4
1449106888184,2,3,7,-17,-32,-84,-15,-2,1,-7,-13
1449106888184,2,3,7,28,39,15,11,7,0,-2,3
1449106888231,0,3,7,-1,5,-15,-20,1,3,-3,-5
1449106888231,3,3,7,-1,-4,-25,-19,3,9,11,3
1449106888231,3,3,7,14,-4,-13,-10,-7,-5,1,5
1449106888231,0,3,7,-48,-35,41,7,-11,-13,-15,-15
1449106888232,2,3,7,45,23,11,-6,0,7,14,22
1449106888232,2,3,7,-37,-10,4,-9,-12,-11,3,-12
1449106888233,3,3,7,2,-5,-34,-15,-2,-3,-12,-6
1449106888233,3,3,7,3,13,36,6,0,2,-2,-1
1449106888279,0,3,7,-9,-24,-31,-3,1,-4,-11,-7
1449106888279,0,3,7,-35,-17,11,9,3,-1,1,-9
1449106888280,1,3,7,19,24,1,6,-9,-7,-1,5
1449106888280,1,3,7,2,10,1,-5,2,6,10,4
1449106888281,3,3,7,1,-7,17,19,13,4,0,-1
1449106888281,3,3,7,-19,-13,-20,-25,-5,-4,-5,-3
1449106888282,0,3,7,23,30,-5,7,4,2,6,13
1449106888282,0,3,7,5,7,-6,-11,-7,0,-1,-2
1449106888328,1,3,7,31,21,13,21,8,9,1,19
1449106888328,1,3,7,-28,-20,4,-8,-7,-8,-5,-21
1449106888329,2,3,7,6,2,11,14,5,4,3,4
1449106888329,2,3,7,-59,-50,-10,-4,-1,-2,4,-10
1449106888330,0,3,7,-10,-17,-43,-15,-3,1,-7,-8
1449106888330,0,3,7,0,-30,34,9,0,1,5,-7
1449106888331,1,3,7,-22,-12,28,-5,-4,-3,1,-10
1449106888331,1,3,7,5,3,-6,10,5,-1,-10,-4
1449106888377,2,3,7,21,30,5,-6,-3,0,4,17
1449106888377,2,3,7,14,6,-3,20,1,-3,-5,2
1449106888378,3,3,7,14,-11,0,-11,-7,-1,3,9
1449106888378,3,3,7,-68,-36,-24,-21,-1,5,7,-14
1449106888378,1,3,7,-5,-10,-16,-13,-5,-4,-8,2
1449106888378,1,3,7,-23,-17,5,-6,-10,3,13,-8
1449106888379,2,3,7,23,5,-14,14,11,4,6,9
1449106888379,2,3,7,-3,-8,-7,0,3,4,3,2
1449106888426,3,3,7,-4,-23,-16,24,-1,-5,12,0
1449106888426,3,3,7,13,18,7,-36,-4,-1,-8,1
1449106888426,0,3,7,-2,-26,-16,-4,6,3,-16,-4
1449106888426,0,3,7,21,33,48,21,10,7,17,13
1449106888427,2,3,7,46,43,-10,-8,-9,-2,1,13
1449106888427,2,3,7,-82,-58,0,1,-6,-10,-5,-25
1449106888428,3,3,7,-6,6,-13,-2,1,-2,-3,-5
1449106888428,3,3,7,16,-5,-2,9,4,5,14,12
1449106888474,0,3,7,15,19,52,11,-6,-6,-12,1
1449106888474,0,3,7,42,34,-23,-18,-1,10,20,13
1449106888475,1,3,7,-27,-22,3,-9,-6,-7,-7,-5
1449106888475,1,3,7,-11,-21,-1,11,4,5,7,8
1449106888476,3,3,7,-16,-2,-22,-2,1,-3,-11,-18
